Handle,Post,Date
@Ateije1,utawala githunguri transformer weeks since took happened bring transformer back pple kenya power come previous day wakachora kesho yake ikalipuka walikuwa na nia gani,16-Apr
@mike_otuoma,people car wash zimmermanyour officials saying kenyapowercare kenyapower afford transformer spoilt month ago resolve issues,16-Apr
@denodenis11,kenyapowercare kenyapower serious days power since transformer issue utawala ottomart area suffering dont tell dm since blue tick babu,16-Apr
@Nganga_Simon,kenyapowercare rd week without power since transformer vandalized single word kplc despite multiple requests location ndioni limuru anyone assist,16-Apr
@Joelkin21287815,hello want information office concerning transformer mounted weeks ago shilanga area since theres electricity day onwards empty promises relevant contractors work done,16-Apr
@BenardBenks,problem transformer since one phase thats,16-Apr
@KirkZara13,stimano power since sunday medicines stored fridge whats happening light heavy rainfall transformer gives,16-Apr
@somektaiwa,reported severally lack power residents waitaluk ward trans nzoia county neighbouring st joseph sec sch following removal faulty transformerit months darkness countingtodate responseyour customer care really wanting,16-Apr
@somektaiwa,customer care really wantinghave complained severally regarding lack power following removal faulty transformerit three months counting,16-Apr
@Veron64782666,kenyapowercare long take fix faulty transformer zimmerman carwash darkness month,15-Apr
@DuncanKokonya,kenyapowercare acno people citizens others country courtesy u hate ruaka much experience atleast blackouts day kariuki drive simply overload one transformer,15-Apr
@Ericwaiganjo,kenyapowercare area gitundu githigio gatundu south electricity days technical team came took transformer since homes darkness meter number kindly sort us,15-Apr
@musita,kenyapowercare staff transformer connecting token like three times today still stima zimepotea really find problem sort completely issue whole last week,15-Apr
@rkamathi,kenyapowercare please help sort us kikuyu kidfarmaco neargardens restaurant afi butchery transformerblown fuse kikuyu office unresponsive,15-Apr
@panktcha,kenyapowercare power outage rains low voltage power switching send support team fix fuses transformer near chiefs camp kamiti road kamiti ridgecorner estate evergreen court ac,15-Apr
@krosbyLTD,kenyapowercare overloaded transformer keeps blowing everydaywe tried getting permanent solutuon forth comingall calls fallen deaf earthis disaster waiting clifftopestatemuchatha,15-Apr
@theMissM_,kenyapowercare technicians took away transformer week ago still dark,15-Apr
@Sylvia_Gachahi,kenyapowercare kindly assist id like report power outage since last night transformer blew location mwiki njeri hse rd rd street area metre appreciate assistance,15-Apr
@Iam__beatie,hello good evening hasnt lights nyamasaria two days transformer imechomeka inachoma vitu za watu yet nothing donethere risk theft powerthe complaint booked ref number something quick,15-Apr
@williemanyara,long take repair replace transformer,15-Apr
@MUYAKihumba,kenyapowercare understand lost man tried work transformer friday understood situation justification reconnecting power,15-Apr
@Stephenstephano,kenyapowercare almost weeks transformer replaced siala kaduol village onyinyore location gem sub location siaya county community tired darkness brings insecurity area kenyapower interiorke,15-Apr
@John83577777,kindly liase kplc mumias kakamega offices restore faulty transformer ebuyengere mumias west kakamega county blackout since december,15-Apr
@rehemamk,munataka kusema dont know transformer blew last week wednesday,15-Apr
@buynowke,kenyapowercare power kinoo along chiefs road affecting strip apartments businesses transformer blew two days ago progress issue,15-Apr
@Leah_Luseno,lost power april utawalagithunguri still dont power till date told transformer issue would sorted business daysstill avail theres clear communication whether issue sorted speculation,15-Apr
@VeronicahNgang4,githurai adjacent railway station highview area third week transformer taken team nothing done businesses standstill anyway monopoly,15-Apr
@BabaGisubizo,kenyapowercare hello darkness last one week told transformer blew take weeks get replacement duration reduced,14-Apr
@KigaraW,kenyapowercare kindly something rectify transformer maziwa along kamiti road pliz,14-Apr
@MutukuPetmu2002,hello kenya powerits almost month since kplc team took transformer supplying power areakindly assisthii giza imezidijuja road near total karambeemlango kubwa,14-Apr
@IreriJb,kenyapowercare hi without power since thursday staff got accident repairing transformer donholm suffer till,14-Apr
@JamboMe,well us street power outage consistent supply faulty transformer never resolved weve darkness since pm since march begging resolution cofe,14-Apr
@Mondungwa,whole week coast kawangware telling us wait whole two weeks please fix transformer vyakula vyetu zinaharibikia kwa fridge businesses losing economy shall survive compensation,14-Apr
@karigeloi,kenyapowercare transformer exploded hours ago sewage juja darkness,14-Apr
@MwangiMickie,yet fixed even team visited affected transformer left without fixing issue,14-Apr
@Brianmuhia0000,kenyapowercare days finally grateful transformer changed thank,14-Apr
@mdg_chosen,kenyapowercare kindly assist kinoo area transformer blew around kinoo havent seen gotten help end mtr,14-Apr
@Onetouc42118217,matugulu sub county machakos staff stealing transformers broad daylight darkness even one installed recently taken away kindly advise us install solar panels,14-Apr
@SheldonNyamwaya,hello kenyapowercare since transformer blown week ago nothing done location gidhunguri ruai,14-Apr
@DeborahMutheu5,hellotoday day without power due transformer malfunction ndongoro lower kabete possibility restoration today,14-Apr
@ElvisOwango,transformer blowing red fire power hook metals burning red electronics destroyed raised several times theres response want whole village blown aheromagina apondo primary transformer meter,14-Apr
@Mwenda_E,kenyapowercare transformer blew lower kabete near dongoro primary school wednesday th april today th still power please something,14-Apr
@SkSkiteki,kenyapowercare kindly rectify power outage coast area kawangware place darkness last days due transformer breakdown business losses insecurity cropping time goes please something,14-Apr
@venyanga,kenyapowercare power wholesale center mugutharuiru even hours since went send team diagnose transformer serving center conclusively inconveniences much,14-Apr
@mwarsie,kenyapowercare transformer kibiko blew friday night duly reported still darkness kenya power team responded,14-Apr
@evelyn_nyaboke,expect transformer lewisa secondary surroundings along lewisa road kiserian,13-Apr
@Mesheck_Theri,kenyapowercare almost weeks without lights huku utawala githunguri faulty transformer whats happening hakuna replacement,13-Apr
@HeeranNdunda,expect transformer lukenyakwa kalusya dispensaryprimary environs,13-Apr
@Gilfordbudz1,power murera kwa tom around transformer since yesterday one cares respond,13-Apr
@venyanga,kenyapowercare power please address issue permanent solution ever going transformer wholesale center mugutharuiru,13-Apr
@Brianmuhia0000,kenyapowercare still electricity lower kabete ndongoro area faulty transformer almost days,13-Apr
@GRACEGI40501549,kindly restore power area ruiru murera transformer one near jabezu hardware kindly something check dm,13-Apr
@KigaraW,kenyapowercare kindly help us dark last two weeks transformer,13-Apr
@shiku84,kenyapowercare account power house transformer blew loudest bang,13-Apr
@BrisqowKe,kenyapowercare long take fix transformer sent dm gone unanswered,13-Apr
@AntonyOpiyo3,kenyapowercare long take fix transformer,13-Apr
@daktari_07,kenyapowercare please businesses run suneka centre kisii county month since yall promised replace broken transformers man,13-Apr
@Mukami1,kenyapowercare kplc kindly send technicians ark place kikuyu roadlights went yesterday friday th april pm due transformer failure heavy rain yet come back till today saturday th aprilmeter number complaint ref,13-Apr
@Kuliksss,kenyapowercare guys seem confirm youre okay state transformer,13-Apr
